,1,2,3,4,5,sum,low_sum,high_sum,high_low_ratio
思ってます,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
ていない,4.0,2.0,0.0,0.0,0.0,6.0,6.0,0.0,inf
思考停止に陥る,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
ている),1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
思想も同じ,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
思わせます,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
思わされる内容,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
ているだけ,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,inf
思わされた,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
ている人,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
ている感じ,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
思ってください,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
ては…,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
ておこう,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
ておられる,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
思った,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
思い込みすぎ,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
思い知らされた,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
思い出しました,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
思います！,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
ましたし,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
てないけど,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
てな感じ,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
できないな,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
できない本,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
実際います,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
圧巻です,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
多く見られる,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
多いですね,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
多々あった,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
外された,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
でもなし,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
でやめた,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
変わらなかった,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
で分かります,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
売ってください,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
垂れ流される,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
で落とす手法,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
実害はありません,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
で見つかるかも,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
問題はほったらかし,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
で読んだ,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
で退屈です,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
で過激です,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
で面白かった,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
